SucursalTaller,Marca,Modelo,DiasReparacion,CostoTTRep,Severidad,Segmento,Color,NombreTipoVehiculo,NombreCausaStro
MEDELLÍN,KENWORTH,2007,61 a 120, Alto ,Fuerte,Pesado,VERDE,REMOLCADOR,DAÑOS POR GRANIZO
BOGOTÁ,FUSO          ,2021,121 a 240, Alto ,Fuerte,Pesado,ROJO,VOLQUETA,DISTRACCION DEL CONDUCTOR
BOGOTÁ,KENWORTH,2008,31 a 60, Alto ,Fuerte,Pesado,ROJO,REMOLCADOR,OBSTACULOS EN LA VIA
BOGOTÁ,FORD,2013,31 a 60, Alto ,Fuerte,Liviano,GRIS,AUTOMOVIL,OBSTACULOS EN LA VIA
BOGOTÁ,FORD,2014,16 a 30, Alto ,Leve,Liviano,NEGRO,CAMPERO,OBSTACULOS EN LA VIA
BARRANQUILLA,TOYOTA,2019,61 a 120, Alto ,Fuerte,Liviano,GRIS,CAMPERO,VIOLACION DE NORMAS DE TRANSITO
BOGOTÁ,BMW,2017,61 a 120, Alto ,Medio,Liviano,BLANCO,FURGON,OBSTACULOS EN LA VIA
BOGOTÁ,INTERNATIONAL,2008,31 a 60, Alto ,Fuerte,Pesado,BLANCO,REMOLCADOR,VIOLACION DE NORMAS DE TRANSITO
BOGOTÁ,CHEVROLET,2018,31 a 60, Alto ,Medio,Pesado,BLANCO,FURGON,DISTRACCION DEL CONDUCTOR
CALI,MERCEDES BENZ,2017,61 a 120, Alto ,Medio,Liviano,GRIS,AUTOMOVIL,DISTRACCION DEL CONDUCTOR
MEDELLÍN,CHEVROLET,2018,121 a 240, Alto ,Leve,Pesado,BLANCO,FURGON,DISTRACCION DEL CONDUCTOR
BOGOTÁ,FREIGHTLINER,2013,31 a 60, Alto ,Fuerte,Pesado,BLANCO,REMOLCADOR,OBSTACULOS EN LA VIA
BUCARAMANGA,NISSAN,2019,16 a 30, Alto ,Fuerte,Liviano,BLANCO,PICKUP DOBLE CABINA,DISTRACCION DEL CONDUCTOR
CALI,BMW,2019,61 a 120, Alto ,Fuerte,Liviano,BLANCO,CAMPERO,DISTRACCION DEL CONDUCTOR
MEDELLÍN,CHEVROLET,2019,61 a 120, Alto ,Fuerte,Liviano,PLATA,AUTOMOVIL,DISTRACCION DEL CONDUCTOR
BOGOTÁ,KIA,2013,61 a 120, Alto ,Medio,Liviano,AZUL,AUTOMOVIL,OBSTACULOS EN LA VIA
BARRANQUILLA,INTERNATIONAL,2013,31 a 60, Alto ,Fuerte,Pesado,AZUL,REMOLCADOR,DISTRACCION DEL CONDUCTOR
MEDELLÍN,CHEVROLET,2019,61 a 120, Alto ,Fuerte,Pesado,BLANCO,CHASIS,DISTRACCION DEL CONDUCTOR
BARRANQUILLA,CHEVROLET,2019,31 a 60, Alto ,Fuerte,Pesado,BLANCO,FURGON,OBSTACULOS EN LA VIA
BUCARAMANGA,MERCEDES BENZ,2017,31 a 60, Alto ,Medio,Liviano,PLATA,CAMIONETA PASAJEROS,OBSTACULOS EN LA VIA
BARRANQUILLA,CHEVROLET,2017,61 a 120, Alto ,Fuerte,Pesado,BLANCO,FURGON,DISTRACCION DEL CONDUCTOR
BOGOTÁ,SUZUKI,2018,31 a 60, Alto ,Fuerte,Liviano,PLATA,CAMIONETA PASAJEROS,OBSTACULOS EN LA VIA
BOGOTÁ,BMW,2019,61 a 120, Alto ,Medio,Liviano,ROJO,AUTOMOVIL,OBSTACULOS EN LA VIA
MANIZALES,RENAULT,2017,61 a 120, Alto ,Fuerte,Liviano,BLANCO,CAMPERO,DISTRACCION DEL CONDUCTOR
MEDELLÍN,BMW,2015,61 a 120, Alto ,Medio,Liviano,BLANCO,AUTOMOVIL,DISTRACCION DEL CONDUCTOR
MEDELLÍN,DODGE,2013,31 a 60, Alto ,Medio,Liviano,PLATEADO,CAMIONETA PASAJEROS,VIOLACION DE NORMAS DE TRANSITO
